Dates,Open,High,Low,Close,Volume,roc_1,roc_2,roc_3,roc_average,roc_indicator,Signal,Trades
01-01-2002,1062,1068.5,1046,1049.9,0,-0.003639117,-0.00028747,0.002299912,-0.000542225,-1,-1,0
02-01-2002,1050,1064.9,1046,1059.85,0,-0.002205306,8.13E-05,0.001998421,-4.19E-05,-1,-1,0
03-01-2002,1066.6,1077.65,1059.15,1074.5,0,0.00096312,-0.000310278,0.00232567,0.000992837,0,0,1
04-01-2002,1079.95,1104,1079.95,1098.8,0,0.003358104,0.000944618,0.003138284,0.002480335,0,0,0
07-01-2002,1109,1111.8,1093.5,1097.3,0,0.00439043,0.001020561,0.002625881,0.002678957,0,0,0
08-01-2002,1100,1116.7,1093,1114.1,0,0.005621919,0.001759828,0.003537398,0.003639715,0,0,0
09-01-2002,1115,1115,1094,1097.05,0,0.005846881,0.001495981,0.002750936,0.003364599,0,0,0
10-01-2002,1092,1102.5,1087,1092.25,0,0.007083333,0.00044247,0.002580678,0.003368827,0,0,0
11-01-2002,1089,1102.25,1073,1084.3,0,0.003870103,-0.000772396,0.00220817,0.001768625,0,0,0
14-01-2002,1091.85,1116.3,1091.85,1112,0,0.004550583,0.000222453,0.002977658,0.002583565,0,0,0
15-01-2002,1107.1,1107.1,1091,1095.45,0,0.004338508,-0.000595324,0.002220207,0.001987797,0,0,0
16-01-2002,1098,1102.95,1087,1092.5,0,0.003080625,-0.000706739,0.00159963,0.001324505,0,0,0
17-01-2002,1088.05,1118,1081,1114.25,0,0.003699395,0.000203861,0.001301813,0.001735023,0,0,0
18-01-2002,1114.4,1115,1090.25,1092.35,0,-0.000587004,-0.000605869,0.001172848,-6.67E-06,0,0,0
21-01-2002,1093.7,1099.65,1086.1,1090.25,0,-0.000642486,-0.000149861,0.0008635,2.37E-05,-1,-1,-1
22-01-2002,1092,1098.9,1090,1094.85,0,-0.001727852,0.000194576,0.000882979,-0.000216766,-1,-1,0
23-01-2002,1090.15,1094.4,1085,1087.9,0,-0.000834055,0.000153172,0.000713813,1.10E-05,-1,-1,0
24-01-2002,1089.4,1098,1082,1084.75,0,-0.000686656,0.000770496,4.27E-05,4.22E-05,0,0,1
25-01-2002,1085,1089.45,1078.85,1083.3,0,-9.22E-05,0.000760041,0.000229401,0.000299072,0,0,0
28-01-2002,1089.2,1091.05,1071,1074.05,0,-0.00341277,0.000871427,9.46E-05,-0.000815572,0,0,0
29-01-2002,1073.5,1079.9,1069.85,1074.4,0,-0.001921585,0.000743269,0.000169845,-0.000336157,0,0,0
30-01-2002,1067.1,1069.95,1061.2,1068.5,0,-0.002196796,0.001236914,0.000260047,-0.000233278,0,0,0
31-01-2002,1072,1081,1072,1075.4,0,-0.00348665,0.002172549,-0.000113394,-0.000475832,0,0,0
