Dates,0,1,2,3,4,5,6,7
2007-03-13,125.39999999999964,117.0,2469.749999999999,3500.3999999999996,3099.0499999999993,0.7969377712524804,1.1295074296961973,-0.3325696584437169
2007-03-14,59.0,316.0,2474.7999999999993,3563.95,3166.3499999999995,0.7815939488685709,1.1255704517820204,-0.3439765029134495
2007-03-15,150.0,185.0,2560.3499999999995,3348.95,3121.3499999999995,0.8202700754481234,1.0729171672513498,-0.2526470918032264
2007-03-16,59.0,300.0,2444.3499999999995,3351.0999999999995,3052.499999999999,0.8007698607698608,1.097821457821458,-0.2970515970515972
2007-03-19,161.0,124.10000000000036,2398.499999999999,3275.3999999999996,2999.7999999999993,0.7995533035535701,1.0918727915194348,-0.2923194879658647
2007-03-20,262.10000000000036,42.05000000000018,2641.3999999999996,2824.45,2781.0999999999995,0.9497680773794542,1.0155873575204057,-0.06581928014095151
2007-03-21,268.9499999999998,52.0,2618.3499999999995,2661.45,2796.0999999999995,0.9364293122563571,0.9518436393548158,-0.015414327098458691
2007-03-22,509.89999999999964,41.0,2899.3499999999995,2479.45,2854.1499999999996,1.015836588826796,0.8687174815619362,0.14711910726485977
2007-03-23,262.0,129.64999999999964,3086.3499999999995,2119.2,2721.6499999999996,1.13399959583341,0.7786453070747524,0.3553542887586575
2007-03-26,144.75,165.0,3001.0999999999995,2154.2,2696.6499999999996,1.1128993380676024,0.7988430089184729,0.3140563291491295
2007-03-28,29.0,309.6999999999998,2803.0999999999995,2239.8999999999996,2596.999999999999,1.0793608009241433,0.862495186753947,0.21686561417019634
2007-03-29,19.75,235.0,2512.8499999999995,2275.8999999999996,2473.5999999999995,1.0158675614489003,0.9200760025873221,0.0957915588615782
2007-03-30,192.0,15.050000000000182,2388.8499999999995,2184.95,2384.3999999999996,1.0018662976010735,0.9163521221271599,0.0855141754739136
2007-04-02,210.0,453.0,2452.8499999999995,2484.55,2674.8500000000004,0.9170046918518792,0.928855823691048,-0.01185113183916886
2007-04-03,135.0,178.0,2462.45,2545.55,2695.8500000000004,0.9134224827048981,0.9442476398909434,-0.030825157186045282
2007-04-04,208.0,29.0,2611.45,2258.55,2518.9500000000007,1.0367216498938046,0.8966235931638181,0.14009805672998643
2007-04-05,145.0,125.0,2606.45,2198.55,2494.9500000000007,1.044690274354195,0.8812000240485779,0.16349025030561715
2007-04-09,340.0,0.0,2887.45,1898.5500000000002,2534.300000000001,1.1393481434715695,0.7491417748490705,0.390206368622499
2007-04-10,202.0,100.0,2928.45,1874.4499999999998,2546.2000000000007,1.150125677480166,0.7361754771816822,0.41395020029848384
2007-04-11,155.0,97.0,2821.3499999999995,1929.3999999999996,2514.9500000000007,1.1218314479413105,0.7671723095886595,0.35465913835265106
2007-04-12,11.0,260.0,2563.3999999999996,2137.3999999999996,2451.3500000000004,1.0457095070063431,0.871927713300834,0.17378179370550917
2007-04-13,279.0,30.0,2332.5,2126.3999999999996,2332.4500000000007,1.0000214366867455,0.9116594139209839,0.08836202276576155
2007-04-16,239.89999999999964,10.0,2310.3999999999996,2006.75,2295.0,1.006710239651416,0.874400871459695,0.132309368191721
2007-04-17,143.0,69.89999999999964,2308.6499999999996,1911.6499999999996,2272.0,1.0161311619718307,0.8413952464788731,0.17473591549295764
2007-04-18,167.89999999999964,67.0,2447.5499999999993,1668.9499999999998,2216.8,1.104091483219054,0.7528644893540237,0.3512269938650303
2007-04-19,115.0,157.44999999999982,2542.7999999999993,1591.3999999999996,2257.3,1.126478536304434,0.7050015505249633,0.4214769857794708
2007-04-20,219.5,79.94999999999982,2570.2999999999993,1656.2999999999993,2292.3999999999996,1.12122666201361,0.7225178851858313,0.3987087768277787
2007-04-23,124.94999999999982,99.94999999999982,2485.249999999999,1303.249999999999,1981.5499999999993,1.2541949483989805,0.6576922106431832,0.5965027377557973
2007-04-24,315.0,124.94999999999982,2665.249999999999,1250.199999999999,2178.499999999999,1.2234335551985311,0.5738811108560934,0.6495524443424378
